vendor_id,name,short_description,long_description,price_cents,category_slug,sku,image_url,coa_url,ship_to_states,inventory_count,weight_grams,bullet_specs
,GHD Hemp Crest Tee — Back Crest Natural,Natural heavyweight tee with small front logo and oversized back crest.,"The GHD Hemp Crest Tee — Back Crest Natural is a premium hemp-based piece built for clean daily wear and long-term durability. It uses 55% hemp / 45% organic cotton heavyweight jersey with a boxy relaxed fit profile, finished with Good Hemp Distros branding in a polished, sustainability-forward direction. Care is simple: machine wash cold, wash with like colors, and hang dry or tumble low to preserve shape and color. Made for people who want natural materials, better design, and a brand with purpose.",6400,clothing,GHD-TEE-T2-BACK-CREST-NAT,,,"AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY,DC",0,220,55% hemp / 45% organic cotton heavyweight jersey | Boxy relaxed fit | Small front hit; oversized back crest | Good Hemp Distros logo application | Machine wash cold; hang dry preferred | Inventory set to 0 until confirmed
,GHD Hemp Tonal Monogram Tee — Charcoal,Charcoal tee with all-over GHD monogram and clean premium finish.,"The GHD Hemp Tonal Monogram Tee — Charcoal is a premium hemp-based piece built for clean daily wear and long-term durability. It uses 55% hemp / 45% organic cotton jersey with a relaxed fit profile, finished with Good Hemp Distros branding in a polished, sustainability-forward direction. Care is simple: machine wash cold, wash with like colors, and hang dry or tumble low to preserve shape and color. Made for people who want natural materials, better design, and a brand with purpose.",7200,clothing,GHD-TEE-S3-TONAL-MONO-CHAR,,,"AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY,DC",0,215,55% hemp / 45% organic cotton jersey | Relaxed fit | All-over tonal GHD pattern | Good Hemp Distros logo application | Machine wash cold; hang dry preferred | Inventory set to 0 until confirmed
,GHD Hemp Pocket Tee — Natural,Natural pocket tee with small logo hit and clean everyday styling.,"The GHD Hemp Pocket Tee — Natural is a premium hemp-based piece built for clean daily wear and long-term durability. It uses 55% hemp / 45% organic cotton jersey with a relaxed pocket tee fit profile, finished with Good Hemp Distros branding in a polished, sustainability-forward direction. Care is simple: machine wash cold, wash with like colors, and hang dry or tumble low to preserve shape and color. Made for people who want natural materials, better design, and a brand with purpose.",5200,clothing,GHD-TEE-S4-POCKET-NAT,,,"AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY,DC",0,200,55% hemp / 45% organic cotton jersey | Relaxed pocket tee fit | Pocket logo placement | Good Hemp Distros logo application | Machine wash cold; hang dry preferred | Inventory set to 0 until confirmed
,GHD Hemp Split Panel Tee — Rose Clay,Split-panel tee with rose clay color blocking and clean front logo.,"The GHD Hemp Split Panel Tee — Rose Clay is a premium hemp-based piece built for clean daily wear and long-term durability. It uses 55% hemp / 45% organic cotton jersey with a relaxed color-block fit profile, finished with Good Hemp Distros branding in a polished, sustainability-forward direction. Care is simple: machine wash cold, wash with like colors, and hang dry or tumble low to preserve shape and color. Made for people who want natural materials, better design, and a brand with purpose.",6800,clothing,GHD-TEE-S5-SPLIT-PANEL-ROSE,,,"AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY,DC",0,215,55% hemp / 45% organic cotton jersey | Relaxed color-block fit | Two-tone panel construction | Good Hemp Distros logo application | Machine wash cold; hang dry preferred | Inventory set to 0 until confirmed
,GHD Hemp Wave Graphic Tee — Natural Signature,Natural tee with signature wave graphic and hemp leaf centerpiece.,"The GHD Hemp Wave Graphic Tee — Natural Signature is a premium hemp-based piece built for clean daily wear and long-term durability. It uses 100% hemp jersey with a relaxed streetwear fit profile, finished with Good Hemp Distros branding in a polished, sustainability-forward direction. Care is simple: machine wash cold, wash with like colors, and hang dry or tumble low to preserve shape and color. Made for people who want natural materials, better design, and a brand with purpose.",6000,clothing,GHD-TEE-S6-WAVE-GRAPHIC-NAT,,,"AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY,DC",0,210,100% hemp jersey | Relaxed streetwear fit | Water-based wave graphic | Good Hemp Distros logo application | Machine wash cold; hang dry preferred | Inventory set to 0 until confirmed
,GHD Hemp Washed Long Sleeve — Dusk Blue,Garment-dyed dusk blue long sleeve with sleeve print and logo hit.,"The GHD Hemp Washed Long Sleeve — Dusk Blue is a premium hemp-based piece built for clean daily wear and long-term durability. It uses 55% hemp / 45% organic cotton jersey with a relaxed long sleeve fit profile, finished with Good Hemp Distros branding in a polished, sustainability-forward direction. Care is simple: machine wash cold, wash with like colors, and hang dry or tumble low to preserve shape and color. Made for people who want natural materials, better design, and a brand with purpose.",7400,clothing,GHD-LONG-S7-WASHED-LS-DUSK,,,"AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY,DC",0,265,55% hemp / 45% organic cotton jersey | Relaxed long sleeve fit | Garment wash and sleeve graphics | Good Hemp Distros logo application | Machine wash cold; hang dry preferred | Inventory set to 0 until confirmed
,GHD Hemp Rugby Stripe Long Sleeve — Sage Natural,"Heritage stripe long sleeve with collar, chest logo, and premium texture.","The GHD Hemp Rugby Stripe Long Sleeve — Sage Natural is a premium hemp-based piece built for clean daily wear and long-term durability. It uses 55% hemp / 45% organic cotton knit with a relaxed rugby-style fit profile, finished with Good Hemp Distros branding in a polished, sustainability-forward direction. Care is simple: machine wash cold, wash with like colors, and hang dry or tumble low to preserve shape and color. Made for people who want natural materials, better design, and a brand with purpose.",7800,clothing,GHD-LONG-S8-RUGBY-STRIPE-SAGE,,,"AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY,DC",0,295,55% hemp / 45% organic cotton knit | Relaxed rugby-style fit | Rugby collar and stripe layout | Good Hemp Distros logo application | Machine wash cold; hang dry preferred | Inventory set to 0 until confirmed
,GHD Hemp Luxury Monogram Long Sleeve — Charcoal,Premium charcoal long sleeve with all-over tonal GHD monogram.,"The GHD Hemp Luxury Monogram Long Sleeve — Charcoal is a premium hemp-based piece built for clean daily wear and long-term durability. It uses 55% hemp / 45% organic cotton jersey with a relaxed long sleeve fit profile, finished with Good Hemp Distros branding in a polished, sustainability-forward direction. Care is simple: machine wash cold, wash with like colors, and hang dry or tumble low to preserve shape and color. Made for people who want natural materials, better design, and a brand with purpose.",8400,clothing,GHD-LONG-S9-LUX-MONO-LS-CHAR,,,"AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY,DC",0,280,55% hemp / 45% organic cotton jersey | Relaxed long sleeve fit | All-over tonal monogram print | Good Hemp Distros logo application | Machine wash cold; hang dry preferred | Inventory set to 0 until confirmed
,GHD Hemp Premium Relaxed Tee — Stone,Minimal relaxed tee with understated Good Hemp Distros front mark.,"The GHD Hemp Premium Relaxed Tee — Stone is a premium hemp-based piece built for clean daily wear and long-term durability. It uses 100% hemp jersey with a relaxed premium fit profile, finished with Good Hemp Distros branding in a polished, sustainability-forward direction. Care is simple: machine wash cold, wash with like colors, and hang dry or tumble low to preserve shape and color. Made for people who want natural materials, better design, and a brand with purpose.",6400,clothing,GHD-TEE-S10-RELAXED-TEE-STONE,,,"AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY,DC",0,220,100% hemp jersey | Relaxed premium fit | Minimal front typography | Good Hemp Distros logo application | Machine wash cold; hang dry preferred | Inventory set to 0 until confirmed
,GHD Hemp Classic Pique Polo — Sage,Timeless hemp pique polo with clean chest logo and soft texture.,"The GHD Hemp Classic Pique Polo — Sage is a premium hemp-based piece built for clean daily wear and long-term durability. It uses 55% hemp / 45% organic cotton pique with a classic polo fit profile, finished with Good Hemp Distros branding in a polished, sustainability-forward direction. Care is simple: machine wash cold, wash with like colors, and hang dry or tumble low to preserve shape and color. Made for people who want natural materials, better design, and a brand with purpose.",7800,clothing,GHD-POLO-P1-CLASSIC-PIQUE-SAGE,,,"AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY,DC",0,280,55% hemp / 45% organic cotton pique | Classic polo fit | Rib collar and two-button placket | Good Hemp Distros logo application | Machine wash cold; hang dry preferred | Inventory set to 0 until confirmed
,GHD Hemp Monogram Panel Polo — Black Natural,Contrast panel polo with tonal monogram texture and premium trim.,"The GHD Hemp Monogram Panel Polo — Black Natural is a premium hemp-based piece built for clean daily wear and long-term durability. It uses 55% hemp / 45% organic cotton jersey pique with a premium contrast-panel fit profile, finished with Good Hemp Distros branding in a polished, sustainability-forward direction. Care is simple: machine wash cold, wash with like colors, and hang dry or tumble low to preserve shape and color. Made for people who want natural materials, better design, and a brand with purpose.",9800,clothing,GHD-POLO-P4-MONO-PANEL-BLACK,,,"AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY,DC",0,300,55% hemp / 45% organic cotton jersey pique | Premium contrast-panel fit | Contrast tipping and monogram panel | Good Hemp Distros logo application | Machine wash cold; hang dry preferred | Inventory set to 0 until confirmed
,GHD Hemp Premium Pullover Hoodie — Natural,"Ultra-soft pullover hoodie built for comfort, weight, and everyday wear.","The GHD Hemp Premium Pullover Hoodie — Natural is a premium hemp-based piece built for clean daily wear and long-term durability. It uses 55% hemp / 45% organic cotton fleece with a relaxed hoodie fit profile, finished with Good Hemp Distros branding in a polished, sustainability-forward direction. Care is simple: machine wash cold, wash with like colors, and hang dry or tumble low to preserve shape and color. Made for people who want natural materials, better design, and a brand with purpose.",12800,clothing,GHD-HOODIE-H1-PULLOVER-NAT,,,"AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY,DC",0,650,55% hemp / 45% organic cotton fleece | Relaxed hoodie fit | Kangaroo pocket and lined hood | Good Hemp Distros logo application | Machine wash cold; hang dry preferred | Inventory set to 0 until confirmed
,GHD Hemp Zip Hoodie — Sage,"Full-zip hemp hoodie with sturdy zipper, chest logo, and relaxed fit.","The GHD Hemp Zip Hoodie — Sage is a premium hemp-based piece built for clean daily wear and long-term durability. It uses 55% hemp / 45% organic cotton fleece with a relaxed zip hoodie fit profile, finished with Good Hemp Distros branding in a polished, sustainability-forward direction. Care is simple: machine wash cold, wash with like colors, and hang dry or tumble low to preserve shape and color. Made for people who want natural materials, better design, and a brand with purpose.",13800,clothing,GHD-HOODIE-H2-ZIP-SAGE,,,"AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY,DC",0,680,55% hemp / 45% organic cotton fleece | Relaxed zip hoodie fit | Full zip and front pockets | Good Hemp Distros logo application | Machine wash cold; hang dry preferred | Inventory set to 0 until confirmed
,GHD Hemp Panel Hoodie — Natural Sage,Sporty panel hoodie with premium French terry comfort and logo hit.,"The GHD Hemp Panel Hoodie — Natural Sage is a premium hemp-based piece built for clean daily wear and long-term durability. It uses 55% hemp / 45% organic cotton french terry with a relaxed panel fit profile, finished with Good Hemp Distros branding in a polished, sustainability-forward direction. Care is simple: machine wash cold, wash with like colors, and hang dry or tumble low to preserve shape and color. Made for people who want natural materials, better design, and a brand with purpose.",13200,clothing,GHD-HOODIE-H3-PANEL-NAT-SAGE,,,"AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY,DC",0,660,55% hemp / 45% organic cotton French terry | Relaxed panel fit | Color-block panel construction | Good Hemp Distros logo application | Machine wash cold; hang dry preferred | Inventory set to 0 until confirmed
,GHD Hemp Graphic Crewneck — Charcoal,Bold logo crewneck with soft fleece interior and clean streetwear energy.,"The GHD Hemp Graphic Crewneck — Charcoal is a premium hemp-based piece built for clean daily wear and long-term durability. It uses 55% hemp / 45% organic cotton fleece with a relaxed crewneck fit profile, finished with Good Hemp Distros branding in a polished, sustainability-forward direction. Care is simple: machine wash cold, wash with like colors, and hang dry or tumble low to preserve shape and color. Made for people who want natural materials, better design, and a brand with purpose.",11500,clothing,GHD-CREW-C3-GRAPHIC-CREW-CHAR,,,"AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY,DC",0,560,55% hemp / 45% organic cotton fleece | Relaxed crewneck fit | Large front logo print | Good Hemp Distros logo application | Machine wash cold; hang dry preferred | Inventory set to 0 until confirmed
,GHD Hemp Slim Jogger — Sage,"Tapered slim jogger with ribbed cuffs, hemp drawcord, and logo hit.","The GHD Hemp Slim Jogger — Sage is a premium hemp-based piece built for clean daily wear and long-term durability. It uses 55% hemp / 45% organic cotton french terry with a slim tapered jogger fit profile, finished with Good Hemp Distros branding in a polished, sustainability-forward direction. Care is simple: machine wash cold, wash with like colors, and hang dry or tumble low to preserve shape and color. Made for people who want natural materials, better design, and a brand with purpose.",8800,clothing,GHD-JOGGER-JG1-SLIM-SAGE,,,"AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY,DC",0,500,55% hemp / 45% organic cotton French terry | Slim tapered jogger fit | Rib cuffs and hemp drawcord | Good Hemp Distros logo application | Machine wash cold; hang dry preferred | Inventory set to 0 until confirmed
